identifier;type;title;author;author_gender;source;source_number;source_place;source_date;publication_date;publication_place;pages;literary epoch;decade
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2003-t6-s67-81;article;Stanisław Trembecki - obraz człowieka na podstawie zachowanej korespondencji;Katarzyna Smulska;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 6;;2003;;;s. 67-81;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2003-t6-s161-167;article;"O pozytywistycznym programie ""pracy u podstaw"" w ujęciu pisarzy polskich i rosyjskich";Barbara Olaszek;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 6;;2003;;;s. 161-167;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2003-t6-s397-404;article;Metafizyka ciała : poetyckie intuicje Adriany Szymańskiej;Alicja Mazan-Mazurkiewicz;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 6;;2003;;;s. 397-404;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2005-t7-n1-s349-368;article;Kto śni w poezji Leśmiana?;Joanna Pomykała;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 7 nr 1;;2005;;;s. 349-368;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2008-t10-s135-156;article;Synek z Pszowa, czyli kim jest Jerzy Szymik;Alicja Mazan-Mazurkiewicz;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 10;;2008;;;s. 135-156;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2008-t10-s237-251;article;Socrealistyczna krytyka literacka w ujęciu diachronicznym;Marcin Pietrzak;mężczyzna;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 10;;2008;;;s. 237-251;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2008-t11-s13-36;article;"O postaci Przeczystej Rodzicy z ""Hymnu na Dzień Zwiastowania""";Agnieszka Mazurska;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 11;;2008;;;s. 13-36;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2007-t9-s127-134;article;Włodzimierz Perzyński - pisarz zapomniany;Agnieszka Buczyńska;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 9;;2007;;;s. 127-134;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2007-t9-s293-300;article;"(Nie) moja ""mimesis""";Andrzej Kudra;mężczyzna;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 9;;2007;;;s. 293-300;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2011-t14-n2-s79-92;article;Juliusz Słowacki zilustrowany w 1909 roku;Maria Berkan-Jabłońska;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 14 nr 2;;2011;;;s. 79-92;Po 1989;2010
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2009-t12-s135-142;article;Kazimierz Przerwa-Tetmajer o Stanisławie Wyspiańskim;Izabela Grzelak;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 12;;2009;;;s. 135-142;Po 1989;2000
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2010-t13-s169-176;article;Końcowa faza procesu twórczego : o pracy Kazimierza Przerwy-Tetmajera nad własnymi tekstami przed oddaniem ich do druku;Izabela Grzelak;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 13;;2010;;;s. 169-176;Po 1989;2010
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2012-t15-s11-33;article;Pieśni Mieczysława Karłowicza do słów Kazimierza Przerwy-Tetmajera w świetle poglądów XIX-wiecznych teoretyków muzyki na muzyczność języka polskiego;Joanna Dzidowska;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 15;;2012;;;s. 11-33;Po 1989;2010
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2012-t15-s163-179;article;Franz Liszt i jego muzyka fortepianowa w ujęciu Jarosława Iwaszkiewicza oraz Pawła Kubisza;Małgorzata Gamrat;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 15;;2012;;;s. 163-179;Po 1989;2010
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2012-t18-s23-31;article;"O sztuce krasomówczej w ""Ćwiczeniach krasomówsko-prawnych"" Jana Bielskiego";Małgorzata Mieszek;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 18;;2012;;;s. 23-31;Po 1989;2010
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2012-t18-s33-41;article;Tendencje epoki oraz indywidualny rys w kształtowaniu bohatera literackiego w romansopisarstwie Wacława Potockiego;Joanna Woron;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 18;;2012;;;s. 33-41;Po 1989;2010
Acta_Universitatis_Lodziensis_Folia_Litteraria_Polonica-r2012-t18-s203-215;article;"Miejsce antropologiczne w ""Ogrodach polskich"" Wojciecha Prażmowskiego";Joanna Ślósarska;kobieta;Acta Universitatis Lodziensis Folia Litteraria Polonica;t. 18;;2012;;;s. 203-215;Po 1989;2010
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2003-t3-s201-218;article;Juliana Kawalca pieśń o starości;Bolesław Faron;mężczyzna;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 3;;2003;;;s. 201-218;Po 1989;2000
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2002-t2-s161-177;article;Młodopolski dramat wewnętrzny;Jerzy Waligóra;mężczyzna;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 2;;2002;;;s. 161-177;Po 1989;2000
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2005-t5-s194-204;article;Dzieła i autorzy w felietonach Jerzego Pilcha;Katarzyna Przebinda-Niemczyk;kobieta;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 5;;2005;;;s. 194-204;Po 1989;2000
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2009-t9-s27-39;article;Twórczość Katarzyny Grocholi : szkicując kierunki lektury;Magdalena Roszczynialska;kobieta;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 9;;2009;;;s. 27-39;Po 1989;2000
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2009-t9-s206-218;article;"Literatura a psychologia głębi : ""Ostatnie historie"" Olgi Tokarczuk, czyli droga do indywiduacji C.G. Junga";Katarzyna Witkoś;kobieta;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 9;;2009;;;s. 206-218;Po 1989;2000
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2006-t6-s5-18;article;Nowsze problemy teoretyczne pisania o sobie. Przykład wypowiedzi autobiograficznych pisarzy polskich ostatnich dziesięcioleci : uwagi wstępne;Regina Lubas-Bartoszyńska;kobieta;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 6;;2006;;;s. 5-18;Po 1989;2000
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2010-t10-s68-84;article;"Świadectwo nowej tożsamości amerykańskiej w podróżniczym bestsellerze Marka Twaina ""Innocents Abroad""";Joanna Dybiec;kobieta;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 10;;2010;;;s. 68-84;Po 1989;2010
Annales_Universitatis_Paedagogicae_Cracoviensis_Studia_Historicolitteraria-r2012-t12-s139-149;article;Wśród znaków tragedii i ocalenia w poezji 1939-1945;Gustaw Ostasz;mężczyzna;Annales Universitatis Paedagogicae Cracoviensis Studia Historicolitteraria;t. 12;;2012;;;s. 139-149;Po 1989;2010
Collectanea_Philologica-r1999-t3-s223-237;article;Meditatio mortis;Jadwiga Czerwińska;kobieta;Collectanea Philologica;t. 3;;1999;;;s. 223-237;Po 1989;1990
Collectanea_Philologica-r1995-t2-s65-79;article;Motywy prodikejskie w koncepcji śmierci u Eurypidesa;Jadwiga Czerwińska;kobieta;Collectanea Philologica;t. 2;;1995;;;s. 65-79;Po 1989;1990
Collectanea_Philologica-r2003-t5-s39-51;article;Agony racji w tragediach Eurypidesa : agon psychologiczny Medei;Jadwiga Czerwińska;kobieta;Collectanea Philologica;t. 5;;2003;;;s. 39-51;Po 1989;2000
Collectanea_Philologica-r2003-t5-s53-64;article;Mit o Dike w wersji Aratosa z Soloj;Joanna Rostropowicz;kobieta;Collectanea Philologica;t. 5;;2003;;;s. 53-64;Po 1989;2000
Collectanea_Philologica-r2003-t5-s91-105;article;Dwuwiersz Sulpicji Młodszej;Danuta Jędrzejczak;kobieta;Collectanea Philologica;t. 5;;2003;;;s. 91-105;Po 1989;2000
Collectanea_Philologica-r2006-t9-s149-154;article;Aspekty etyczne aktu zemsty w sztukach Eurypidesa;Małgorzata Budzowska;kobieta;Collectanea Philologica;t. 9;;2006;;;s. 149-154;Po 1989;2000
Collectanea_Philologica-r2006-t9-s235-243;article;Symbolika wody w dramatach A. Czechowa : problemy przekładu teatralnego;Barbara Olaszek;kobieta;Collectanea Philologica;t. 9;;2006;;;s. 235-243;Po 1989;2000
